公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京基调网络股份有限公司,听云,150-500人,上市公司,朝阳区,Python研发工程师,3-5年,本科,17k-24k,上市公司 带薪年假 地铁周边
爱笔（北京）智能科技有限公司,Aibee,50-150人,天使轮,海淀区,Python开发工程师,3-5年,本科,18k-36k,"初创公司,技术驱动"
北京智合大方科技有限公司,客知音,15-50人,A轮,东城区,python,不限,本科,20k-40k,人工智能；技术驱动；大牛带队；福利多多
北京东方车云信息技术有限公司,易到用车,500-2000人,D轮及以上,东城区,Python工程师,5-10年,本科,20k-35k,年底双薪 弹性上班
绫致时装（天津）有限公司,绫致时装（天津）有限公司,2000人以上,不需要融资,朝阳区,Python 开发工程师,5-10年,本科,18k-20k,发展前景好
乐飞天下信息技术(北京)有限公司,乐飞天下,50-150人,未融资,朝阳区,Python开发工程师,不限,大专,10k-20k,五险一金 带薪假 海外旅游 节假福利
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,Python研发工程师（中高级）,3-5年,本科,15k-25k,"管理扁平化,发展机会佳,薪资待遇好"
轻易科技有限公司,轻易贷,2000人以上,上市公司,海淀区,Python开发工程师,3-5年,本科,15k-28k,"弹性工作制,扁平化管理,绩效奖金"
小叶子（北京）科技有限公司,The ONE,500-2000人,C轮,朝阳区,Python开发工程师,3-5年,本科,20k-30k,"五险一金,交通补助,午晚餐"
便利蜂商贸有限公司,便利蜂,2000人以上,不需要融资,朝阳区,python工程师(J11548),3-5年,本科,25k-40k,五险一金
北京天桐互动信息技术有限公司,天桐互动,15-50人,A轮,朝阳区,高级Python工程师,1-3年,本科,20k-35k,"期权激励,扁平化管理,五险一金,年底双薪"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,Python研发工程师,1-3年,本科,15k-25k,"六险一金,节日福利,带薪休假,餐补"
达而观信息科技（上海）有限公司,达观数据,50-150人,B轮,海淀区,Python高级开发工程师,3-5年,本科,18k-36k,"团队技术强,发展空间大,人工智能"
北京右划网络科技有限公司,右划,50-150人,A轮,朝阳区,高级python开发工程师,3-5年,本科,30k-60k,"短视频,大牛云集,工程师文化,一年15薪"
北京智水互娱科技有限公司,智水互娱,15-50人,不需要融资,东城区,Python开发工程师,1-3年,大专,20k-40k,"海外,高薪"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,资深Python研发工程师,3-5年,本科,20k-40k,"上市公司,六险一金,发挥空间,团队氛围"
上海淇毓信息科技有限公司,奇虎360金融,500-2000人,未融资,朝阳区,Python开发工程师,3-5年,不限,20k-40k,"优秀团队,优秀项目"
北京智合大方科技有限公司,客知音,15-50人,A轮,东城区,python工程师（ai）,不限,本科,20k-40k,人工智能；技术驱动；大牛带队；福利多多
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,高级Python研发工程师,3-5年,本科,25k-35k,"扁平化管理,福利待遇佳,学习氛围好,晋升空间大"
会找房（北京）网络技术有限公司,会分期,150-500人,D轮及以上,海淀区,Python开发工程师(J10100),3-5年,大专,15k-30k,"五险一金,十四薪,弹性工作"
乐飞天下信息技术(北京)有限公司,乐飞天下,50-150人,未融资,朝阳区,Python中高级开发工程师,5-10年,大专,15k-30k,五险一金 带薪假 海外旅游 节假福利
北京汇游科技有限公司,汇游科技,15-50人,不需要融资,朝阳区,中高级Python开发工程师,3-5年,本科,20k-30k,"五险一金,全勤奖,餐补,年终奖金"
北京源清慧虹信息科技有限公司,源清慧虹,50-150人,B轮,海淀区,高级python研发工程师,3-5年,本科,20k-30k,"二次医疗,健身场所,福利补助"
北京乐途原动力科技发展有限公司,北京乐途原动力,50-150人,未融资,朝阳区,python 高级工程师,3-5年,大专,20k-35k,"十五薪,打车补贴,双月奖金"
北京新工场投资顾问有限公司,她理财,50-150人,A轮,朝阳区,高级python开发工程师,1-3年,本科,15k-30k,互联网金融 无天花板 六险一金 期权激励
北京诸葛找房信息技术有限公司,诸葛找房网,150-500人,B轮,朝阳区,Python工程师,3-5年,不限,20k-40k,"六险一金,住房补贴,节日福利,一日三餐"
中云网安科技（北京）有限公司,中云网安,15-50人,A轮,朝阳区,资深python研发工程师,5-10年,本科,28k-40k,"技术前沿,人工智能"
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,Python开发工程师,1-3年,本科,15k-30k,"六险一金,水果零食多,按摩椅,大牛云集"
北京朗势科技有限公司,tataUFO,50-150人,B轮,海淀区,高级Python工程师,3-5年,本科,25k-35k,"8天年假,五险一金,扁平化管理,年终奖"
深圳码隆科技有限公司,码隆科技,50-150人,B轮,海淀区,python工程师(北京),1-3年,本科,15k-25k,发展前景广阔
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,资深python开发工程师,3-5年,本科,20k-30k,发挥空间 晋升空间 牛人多 团队优秀
北京聚道科技有限公司,GeneDock,15-50人,B轮,海淀区,Python后端工程师,5-10年,本科,25k-40k,"五险一金,免费午餐,团队融洽,技术超前"
上海福萝电子科技有限公司,Cobo Wallet,15-50人,A轮,朝阳区,"Python, nodejs，golang工程师",3-5年,本科,30k-60k,"股权激励,成长空间,大牛团队,良好环境"
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,Java/Python开发工程师（19届）,应届毕业生,本科,12k-24k,"每日下午茶,舒适的环境,可爱的伙伴"
北京数字联盟网络科技有限公司,数盟网络,50-150人,B轮,海淀区,Python工程师,不限,本科,8k-16k,"爆发式成长,成长空间,环境个性化,福利丰厚"
图玛深维医疗科技（北京）有限公司,图玛深维,50-150人,B轮,朝阳区,python工程师,1-3年,本科,10k-20k,超长带薪年假 五险一金 地铁周边
克鲁（北京）网络科技有限公司,Castbox,50-150人,B轮,朝阳区,Python后端开发工程师,3-5年,本科,20k-40k,"大牛云集,硅谷文化,免费三餐,租房补贴"
北京深海巨鲸信息科技有限公司,鲸媒体,15-50人,A轮,海淀区,资深Python 工程师,1-3年,不限,14k-20k,"五险一金,员工福利,餐补,双休"
北京格上添富科技发展有限公司,格上添富,150-500人,不需要融资,朝阳区,高级Python研发工程师,5-10年,本科,20k-35k,"水果零食,扁平化管理,弹性工作"
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,"创新前沿,技术大牛,成长空间大,工作弹性"
北京智合大方科技有限公司,客知音,15-50人,A轮,东城区,python后端开发工程师,不限,本科,20k-30k,福利待遇
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,Python高级研发工程师-度假事业部(J11528),3-5年,本科,20k-40k,团队氛围融洽，帅哥美女多，年假多，年终奖
北京图森智途科技有限公司,图森未来,150-500人,C轮,朝阳区,Python后端工程师,1-3年,本科,15k-30k,"行业前沿,大牛云集,发展空间大,薪酬福利好"
维我软件（上海）有限公司北京分公司,Veeva,500-2000人,上市公司,朝阳区,高级Python工程师,5-10年,本科,25k-35k,纽交所上市 美资 生命科学 股票
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,Python研发工程师（数据）,1-3年,本科,20k-30k,"上市公司,丰富福利,数据驱动,免费旅游"
上海诺誉投资管理有限公司,诺誉投资,150-500人,B轮,海淀区,高级python研发工程师,5-10年,本科,20k-25k,"即将b轮,团队背景好"
盛和（北京）资讯科技有限公司,盛和资讯,15-50人,A轮,西城区,Python算法工程师（初中级）,1-3年,本科,15k-25k,"高收入,热门领域,发展前景"
图玛深维医疗科技（北京）有限公司,图玛深维,50-150人,B轮,朝阳区,高级python工程师,3-5年,本科,20k-30k,超长带薪年假 五险一金 地铁周边
