公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京易成时代科技有限公司,Worktile,150-500人,B轮,海淀区,DBA,3-5年,本科,15k-30k,"五险一金,优秀团队,不打卡"
北京金堤科技有限公司,天眼查,50-150人,A轮,海淀区,DBA,1-3年,本科,15k-25k,"健全福利,大牛团队,千万用户,大数据"
北京读我科技有限公司,伴鱼口语,150-500人,C轮,朝阳区,DBA(J10060),5-10年,本科,40k-70k,产品牛、福利好、空间大、团队好
泰康在线财产保险股份有限公司,泰康在线,500-2000人,不需要融资,昌平区,DBA,5-10年,本科,10k-20k,"弹性工作,福利待遇好,工作氛围好,发展空"
上海蔚来汽车有限公司,NIO蔚来,2000人以上,D轮及以上,朝阳区,DBA,3-5年,本科,20k-40k,"六险一金,弹性办公,租房补贴,学霸团队"
中煤信息技术（北京）有限公司,中煤信息,50-150人,不需要融资,朝阳区,DBA,3-5年,本科,10k-18k,自助餐
生命奇点（北京）科技有限公司,生命奇点,50-150人,A轮,海淀区,DBA,3-5年,本科,12k-24k,"发展空间大,团队氛围好,技术导向,扁平管理"
北京莱熙科技有限公司,RC PLATFORM,50-150人,不需要融资,朝阳区,DBA,3-5年,大专,23k-35k,"奖金丰厚,弹性工作,试用不打折,非996"
金宣(北京)科技有限公司,金宣科技,500-2000人,不需要融资,西城区,DBA,3-5年,本科,12k-20k,"工作氛围好,热门行业,机会多"
北京作业盒子科技有限公司,作业盒子,500-2000人,C轮,朝阳区,高级DBA,5-10年,本科,25k-50k,年底多薪
普信恒业科技发展（北京）有限公司,宜信,2000人以上,上市公司,朝阳区,DBA,3-5年,本科,20k-35k,"气氛嘎嘎好,福利也不差,工时贼灵活,你牛你就来"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,DBA,3-5年,本科,18k-35k,"大牛多,平台广,薪酬福利佳"
北京兴泰明远科技有限公司,兴泰明远,2000人以上,上市公司,朝阳区,DBA,3-5年,大专,10k-15k,"五险一金,大平台,集团信息化,项目奖金"
北京优友动量网络技术有限公司,火萤,15-50人,不需要融资,石景山区,DBA,5-10年,本科,20k-40k,"氛围好,重视技术,租房补助,双休"
南京蓝鲸人网络科技有限公司,美篇,50-150人,B轮,海淀区,DBA,5-10年,本科,20k-40k,"牛人多,弹性工作,每日下午茶,工作日出游"
北京读我科技有限公司,伴鱼口语,150-500人,C轮,朝阳区,DBA(J10060),3-5年,本科,30k-50k,"产品牛,氛围好,团队牛,福利高"
上海热璞网络科技有限公司,热璞科技,50-150人,未融资,丰台区,DBA,3-5年,本科,20k-25k,"福利多,氛围好"
中泰宜佳健康科技（北京）有限责任公司,中泰宜佳,500-2000人,A轮,朝阳区,DBA,3-5年,本科,12k-22k,"五险一金,补充医疗,弹性工作,年底双薪"
北京田米科技有限公司,田米科技,2000人以上,D轮及以上,海淀区,DBA,不限,大专,18k-35k,"DBA,MYSQL"
凡谷归真（北京）农业科技发展有限公司,凡谷归真,150-500人,不需要融资,朝阳区,DBA,不限,本科,25k-45k,高薪，背景强大，业务新颖，技术大牛带领
中国搜索信息科技股份有限公司,中国搜索,500-2000人,不需要融资,东城区,DBA,1-3年,本科,15k-25k,"国企,福利好,大平台"
歌德盈香股份有限公司,歌德盈香,150-500人,D轮及以上,大兴区,DBA,5-10年,大专,15k-22k,"五险一金,免费午餐,免费班车,晋升空间"
武汉浩淘科技有限公司,HT,150-500人,不需要融资,石景山区,高级DBA,5-10年,本科,25k-40k,"节假日,五险一金"
蜂网供应链管理（上海）有限公司,蜂网,150-500人,不需要融资,昌平区,DBA,不限,不限,15K-25K,供应链，新零售业务，公司上升期
康博嘉信息科技（北京）股份有限公司,康博嘉信息科技,150-500人,B轮,朝阳区,DBA助理,应届毕业生,本科,5k-7k,"六险一金,带薪年假,绩效奖金,培训晋升"
易手游科技（天津）有限公司,紫龙互娱,150-500人,A轮,朝阳区,DBA,3-5年,本科,15k-25k,"团队精,成长快,有人带,待遇优"
北京右划网络科技有限公司,右划,50-150人,A轮,朝阳区,DBA,3-5年,本科,30k-60k,短视频、大牛云集、工程师文化、一年15薪
北京每日优鲜电子商务有限公司,每日优鲜,500-2000人,C轮,朝阳区,DBA,3-5年,本科,15k-25k,"弹性工作,福利好,期权"
北京猎户星空科技有限公司,猎户星空,500-2000人,A轮,朝阳区,DBA,不限,不限,18k-30k,"发展前景好,高薪"
北京火币天下网络技术有限公司,火币网,150-500人,A轮,海淀区,DBA专家,5-10年,本科,30k-50k,高薪资、丰厚年终奖、福利完善
北京人大金仓信息技术股份有限公司,人大金仓,150-500人,不需要融资,朝阳区,高级DBA,5-10年,本科,18k-30k,"六险一金,国有企业,交补饭补,弹性工作制"
支付宝(杭州)信息技术有限公司,蚂蚁金服集团,2000人以上,B轮,朝阳区,DBA,3-5年,本科,20k-40k,大平台
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,云存储DBA,1-3年,本科,20k-40k,六险一金，免费三餐，租房补贴，休闲下午茶
北京多来点信息技术有限公司,哗啦啦,500-2000人,不需要融资,西城区,DBA,1-3年,本科,15k-20k,五险一金 年终奖金 带薪年假 节日福利
信美人寿相互保险社,信美相互,150-500人,不需要融资,西城区,DBA,3-5年,本科,15k-25k,"办公环境,定期培训,晋升空间,福利待遇"
科达集团股份有限公司,科达股份,2000人以上,上市公司,朝阳区,DBA,1-3年,本科,15k-25k,"五险一金,年底双薪"
安一恒通（北京）科技有限公司,度小满金融,500-2000人,A轮,海淀区,DBA,1-3年,本科,15k-30k,弹性工作
北京思维造物信息科技有限公司,罗辑思维,150-500人,D轮及以上,朝阳区,DBA实习生,应届毕业生,本科,4k-5k,"大咖云集,大牛亲代,氛围极好,环境极好"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,DBA实习生,应届毕业生,本科,2k-3k,互联网公司
