公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,运维工程师,1-3年,本科,8k-15k,五险一金、绩效工资、项目奖金、半年调薪
北京酷鱼畅享科技有限公司,COOLFISH GAMES,50-150人,不需要融资,朝阳区,运维工程师,3-5年,本科,18k-25k,"五险一金,不加班,免费健身房"
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,运维工程师（19届）,应届毕业生,本科,12k-24k,"每日下午茶,舒适的环境,可爱的伙伴"
四众互联（北京）网络科技有限公司,四众互联,50-150人,不需要融资,丰台区,运维工程师,3-5年,本科,10k-20k,"扁平管理,七险一金,团队氛围好"
北京区块节点科技有限公司,区块节点,15-50人,不需要融资,朝阳区,运维工程师,不限,本科,15k-25k,"期权激励,年底多薪,绩效奖金,弹性工时"
用友网络科技股份有限公司,用友,2000人以上,上市公司,海淀区,运维工程师,5-10年,本科,17k-26k,"五险一金,餐补,公司氛围好,最多5个字"
小船出海教育科技（北京）有限公司,作业帮,2000人以上,C轮,海淀区,资深运维工程师(J10973),3-5年,本科,25k-30k,"平台好,福利好"
易见天树科技（北京）有限公司,易见天树,15-50人,上市公司,海淀区,PaaS平台开发与运维工程师,3-5年,本科,25k-50k,"六险一金,扁平管理,外企风格,不打卡"
北京瓴岳信息技术有限公司,洋钱罐,150-500人,不需要融资,朝阳区,运维工程师,3-5年,本科,20k-30k,"技术大牛多,技术驱动型,弹性工作,午餐晚餐"
深圳天宏迅联科技发展有限公司,天宏迅联,50-150人,不需要融资,海淀区,运维工程师,3-5年,本科,15k-25k,"福利多多,项目前景好,团队氛围好,老板棒棒哒"
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,运维工程师,5-10年,本科,10k-20k,"中国前三,包三餐"
北京中电博亚科技有限公司,中电博亚,50-150人,A轮,海淀区,运维工程师,1-3年,本科,10k-18k,"五险一金,带薪年假,周末双休,节日福利"
上海蔚来汽车有限公司,NIO蔚来,2000人以上,D轮及以上,朝阳区,运维工程师,1-3年,本科,20k-40k,"六险一金,弹性办公,租房补贴,学霸团队"
税友软件集团股份有限公司,税友软件,2000人以上,不需要融资,丰台区,运维工程师,3-5年,大专,10k-20k,"运维,linux"
海外网传媒有限公司,海外网,150-500人,不需要融资,朝阳区,高级运维工程师,5-10年,本科,10k-15k,五险一金；带薪年假；补充医疗；防暑降温费
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,高级运维工程师,3-5年,本科,10k-20k,人工智能 项目奖金 五险一金 半年调薪
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,运维工程师,3-5年,本科,15k-30k,"人工智能,弹性工作,牛人团队"
北京瓴岳信息技术有限公司,洋钱罐,150-500人,不需要融资,朝阳区,业务运维工程师,3-5年,本科,18k-30k,"十四薪,六险一金,弹性工作制,午餐晚餐"
极晨智道信息技术（北京）有限公司,极晨智道信息技术有限公司,150-500人,未融资,朝阳区,运维工程师,3-5年,本科,10k-13k,国企环境 氛围极好 领导亲和 大咖如云
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,运维工程师,3-5年,本科,20k-35k,"16薪,免费三餐,七险一金,不打卡"
北京互连众信科技有限公司,资产360,500-2000人,D轮及以上,朝阳区,运维工程师,3-5年,本科,10k-20k,"六险一金,弹性工作时,年底多薪,自助午餐"
北京因果树网络科技有限公司,InnoTREE,50-150人,B轮,海淀区,运维工程师,3-5年,本科,15k-25k,氛围好
央视国际视频通讯有限公司,CGTN,150-500人,不需要融资,朝阳区,运维工程师,3-5年,本科,13k-25k,"六险一金,免费午餐,高大上,平台大"
北京博智天下信息技术有限公司,朗播网,150-500人,B轮,海淀区,高级运维工程师,5-10年,本科,20k-40k,"免费健身,股票期权,带薪年假,集体旅行"
北京鼓掌移动科技有限公司,光量科技,15-50人,A轮,朝阳区,运维工程师,1-3年,本科,10k-20k,"行业先锋,六险一金,成长空间大,优秀团队"
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,SRM 开发/运维工程师,5-10年,本科,30k-50k,"15薪,健身房,免费三餐,班车"
炫一下（北京）科技有限公司,一下科技,500-2000人,D轮及以上,朝阳区,运维工程师,3-5年,本科,30k-40k,需要3位，18薪 有期权，入职有1万红包
北京云京科技有限公司,云京,15-50人,不需要融资,大兴区,高级运维工程师,5-10年,本科,15k-25k,京东投资，国家支持，行业未来，机遇难得
哈弗汽车租赁有限公司,哈弗租赁,50-150人,不需要融资,丰台区,系统运维工程师,1-3年,本科,10k-20k,"五险一金,弹性工作,全勤奖,14薪"
乐约电子科技（上海）有限公司北京分公司,乐约健康,150-500人,C轮,东城区,运维工程师,3-5年,本科,25k-35k,"弹性工作制,带薪假期,高薪企业,五险一金"
北京瓴岳信息技术有限公司,洋钱罐,150-500人,不需要融资,朝阳区,高级运维工程师,3-5年,本科,20k-30k,"技术大牛多,定期体检,弹性工作,年底双薪"
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,运维工程师,3-5年,本科,15k-25k,"发展空间大,公司规模大,免费三餐,健身房"
北京果壳互动科技传媒有限公司,果壳网,150-500人,C轮,朝阳区,高级运维工程师,3-5年,本科,15k-25k,"免费三餐,七险一金,弹性工作,发展前景"
北京崔玉涛儿童健康管理中心有限公司,育学园,150-500人,C轮,朝阳区,高级系统运维工程师,3-5年,本科,18k-25k,六险一金 年底双薪
北京游道易网络文化有限公司,游道易,50-150人,B轮,朝阳区,运维工程师,1-3年,本科,12k-15k,五险一金 弹性工作 优惠午餐
北京领主科技有限公司,领主,15-50人,A轮,海淀区,运维工程师,3-5年,本科,10k-20k,"新技术,前景广阔,五险一金,免费零食"
便利蜂商贸有限公司,便利蜂,2000人以上,不需要融资,朝阳区,高级运维工程师(J10932),1-3年,大专,15k-30k,"薪资高,技术牛"
