公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京拉勾网络技术有限公司,拉勾网,500-2000人,D轮及以上,海淀区,运维开发工程师,3-5年,本科,15k-30k,"挑战,机会,自由,技术氛围浓"
联通支付有限公司,联通支付有限公司,150-500人,不需要融资,西城区,运维开发工程师,3-5年,本科,15k-30k,扁平管理
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,运维开发工程师,5-10年,本科,25k-40k,五险一金、带薪年假、团队氛围好
便利蜂商贸有限公司,便利蜂,2000人以上,不需要融资,朝阳区,运维开发工程师(J10894),3-5年,本科,25k-40k,五险一金
北京数字联盟网络科技有限公司,数盟网络,50-150人,B轮,海淀区,高级运维开发工程师,3-5年,本科,12k-20k,福利好，氛围佳，一起做事业
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,高级运维开发工程师,3-5年,本科,22k-35k,"六险一金,补充医疗,14 薪,福利年假"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,运维开发工程师,3-5年,本科,20k-35k,"人工智能,大牛多"
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,运维开发工程师,1-3年,本科,15k-25k,"六险一金,硅谷式办公,弹性工作制,时令水果"
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,运维开发工程师,不限,本科,15k-30k,"免费三餐,免费班车,下午茶,节日福利"
北京瓴岳信息技术有限公司,洋钱罐,150-500人,不需要融资,朝阳区,运维开发工程师,1-3年,本科,15k-30k,"技术大牛多,六险一金,弹性工作,午餐晚餐"
锐波（北京）科技有限公司,波场TRON,150-500人,不需要融资,海淀区,运维开发工程师,1-3年,本科,15k-30k,"区块链技术,国际化团队,技术大牛,发展前景好"
上海蔚来汽车有限公司,NIO蔚来,2000人以上,D轮及以上,朝阳区,运维开发工程师,3-5年,本科,20k-40k,"六险一金,弹性办公,租房补贴,学霸团队"
全时云商务服务股份有限公司,全时,500-2000人,D轮及以上,朝阳区,运维开发工程师,1-3年,本科,15k-20k,"地铁周边,弹性工作,发展空间大,团队氛围好"
中寰卫星导航通信有限公司,中寰卫星,500-2000人,不需要融资,海淀区,运维开发工程师,5-10年,本科,15k-30k,"六险一金,节日福利,免费班车,定期体检"
北京异构智能科技有限公司,NovuMind Inc.,15-50人,B轮,海淀区,运维开发工程师,1-3年,硕士,15k-25k,"股票期权,带薪年假,年终奖,扁平化管理"
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,资深运维开发工程师,5-10年,本科,20k-40k,"硅谷范办公,平台广阔,六险一金,健身器材"
